codepoint,strokes,radical_codepoint,radical_strokes
131485,19,20128,2
20153,21,20128,2
131487,24,20128,2
20154,2,20154,2
20156,3,20154,2
131491,3,20154,2
131492,3,20154,2
20160,4,20154,2
20161,4,20154,2
20162,4,20154,2
20163,4,20154,2
20164,4,20154,2
20165,4,20154,2
20166,4,20154,2
20167,4,20154,2
20168,4,20154,2
20169,4,20154,2
20170,4,20154,2
20171,4,20154,2
20172,4,20154,2
20173,4,20154,2
20174,4,20154,2
131494,4,20154,2
20175,4,20154,2
131496,4,20154,2
20180,5,20154,2
20181,5,20154,2
13360,5,20154,2
20182,5,20154,2
20183,5,20154,2
13361,5,20154,2
20184,5,20154,2
20185,5,20154,2
20186,5,20154,2
20187,5,20154,2
20188,5,20154,2
20189,5,20154,2
20190,5,20154,2
20191,5,20154,2
20192,5,20154,2
20193,5,20154,2
13362,5,20154,2
131497,5,20154,2
20194,5,20154,2
20195,5,20154,2
20196,5,20154,2
20197,5,20154,2
13363,5,20154,2
131498,5,20154,2
20198,5,20154,2
131503,5,20154,2
13364,5,20154,2
20199,5,20154,2
20206,6,20154,2
20207,6,20154,2
20208,6,20154,2
20209,6,20154,2
13368,6,20154,2
20210,6,20154,2
20211,6,20154,2
131508,6,20154,2
13369,6,20154,2
131509,6,20154,2
20212,6,20154,2
20213,6,20154,2
20214,6,20154,2
131510,6,20154,2
20215,6,20154,2
20216,6,20154,2
20217,6,20154,2
20218,6,20154,2
20219,6,20154,2
20220,6,20154,2
20221,6,20154,2
20222,6,20154,2
20223,6,20154,2
20224,6,20154,2
20225,6,20154,2
131511,6,20154,2
20226,6,20154,2
20227,6,20154,2
20228,6,20154,2
20229,6,20154,2
20230,6,20154,2
20231,6,20154,2
20232,6,20154,2
20233,6,20154,2
20234,6,20154,2
20235,6,20154,2
20236,6,20154,2
20237,6,20154,2
20238,6,20154,2
13370,6,20154,2
20239,6,20154,2
20240,6,20154,2
20241,6,20154,2
131512,6,20154,2
131513,6,20154,2
131514,6,20154,2
20242,6,20154,2
131515,6,20154,2
20243,6,20154,2
13371,6,20154,2
20244,6,20154,2
13372,6,20154,2
20248,6,20154,2
20246,6,20154,2
131531,6,20154,2
131535,6,20154,2
20247,6,20154,2
20245,6,20154,2
131516,6,20154,2
20269,7,20154,2
20270,7,20154,2
13377,7,20154,2
20271,7,20154,2
20272,7,20154,2
131543,7,20154,2
13378,7,20154,2
20273,7,20154,2
20274,7,20154,2
20275,7,20154,2
20276,7,20154,2
131544,7,20154,2
20277,7,20154,2
20278,7,20154,2
20279,7,20154,2
13379,7,20154,2
20280,7,20154,2
20281,7,20154,2
20282,7,20154,2
20283,7,20154,2
20284,7,20154,2
20285,7,20154,2
20286,7,20154,2
20287,7,20154,2
20288,7,20154,2
20289,7,20154,2
20290,7,20154,2
20291,7,20154,2
20292,7,20154,2
20293,7,20154,2
20294,7,20154,2
